,"Demanda observada (ventas), en unidades, y precio de venta (en M$) semanal",,,,,,,,,,,,,,,,,,,,
174,4/26/2024,3412,43.19,5668,27.59,3803,45.59,1731,83.99,5816,37.19,2929,74.39,2914,103.19,5880,74.39,5750,47.99,16349,26.39
175,5/3/2024,3624,43.19,9391,27.59,2844,45.59,1051,83.99,4482,37.19,2074,74.39,4403,103.19,3570,74.39,3112,47.99,14690,26.39
176,5/10/2024,3040,43.19,6127,27.59,3355,45.59,1095,83.99,10452,37.19,1696,74.39,4617,103.19,6731,74.39,3161,47.99,8767,26.39
177,5/17/2024,5223,43.19,8043,27.59,3736,45.59,607,83.99,10146,37.19,3847,74.39,4946,103.19,2938,74.39,5104,47.99,11288,26.39
178,5/24/2024,3546,43.19,8117,27.59,5569,45.59,1333,83.99,7062,37.19,2328,74.39,8546,103.19,4873,74.39,5830,47.99,7800,26.39
179,5/31/2024,3391,43.19,5946,27.59,4748,45.59,899,83.99,6201,37.19,1946,74.39,3446,103.19,2053,74.39,5086,47.99,10337,26.39
180,6/7/2024,4546,43.19,6419,27.59,3483,45.59,1161,83.99,6688,37.19,3649,74.39,3964,103.19,6801,74.39,3223,47.99,7677,26.39
181,6/14/2024,2372,43.19,11436,27.59,3527,45.59,1289,83.99,5592,37.19,2752,74.39,5428,103.19,4347,74.39,5355,47.99,17638,26.39
182,6/21/2024,2512,43.19,14519,27.59,5499,45.59,1164,83.99,11361,37.19,665,74.39,5554,103.19,4710,74.39,5827,47.99,7452,26.39
183,6/28/2024,1719,35.99,10200,22.99,3096,37.99,1454,69.99,7536,30.99,2306,61.99,6084,85.99,3864,61.99,5910,39.99,8846,21.99
184,7/5/2024,3351,35.99,5859,22.99,5861,37.99,1992,69.99,862,30.99,3686,61.99,5493,85.99,3587,61.99,2526,39.99,3498,21.99
185,7/12/2024,3805,35.99,5357,22.99,2962,37.99,667,69.99,9162,30.99,2384,61.99,6707,85.99,2280,61.99,5188,39.99,12581,21.99
186,7/19/2024,2294,35.99,5127,22.99,3731,37.99,1169,69.99,4970,30.99,2465,61.99,8779,85.99,4902,61.99,4703,39.99,2855,21.99
187,7/26/2024,1689,35.99,5921,22.99,3879,37.99,1094,69.99,5652,30.99,1464,61.99,3176,85.99,1937,61.99,2916,39.99,8640,21.99
188,8/2/2024,4343,35.99,5518,22.99,3438,37.99,1146,69.99,8658,30.99,788,61.99,5463,85.99,2764,61.99,4652,39.99,10604,21.99
189,8/9/2024,2693,35.99,6558,22.99,3645,37.99,1722,69.99,3495,30.99,1076,61.99,6469,85.99,849,61.99,3993,39.99,9018,21.99
190,8/16/2024,2197,35.99,6021,22.99,2101,37.99,1514,69.99,12553,30.99,1903,61.99,5357,85.99,3879,61.99,3037,39.99,11229,21.99
191,8/23/2024,3599,35.99,7166,22.99,3947,37.99,1127,69.99,4937,30.99,1810,61.99,5928,85.99,915,61.99,3904,39.99,9712,21.99
192,8/30/2024,4616,43.19,7279,27.59,2233,45.59,1092,83.99,6378,37.19,2012,74.39,2996,103.19,3633,74.39,5620,47.99,8550,26.39
193,9/6/2024,2265,43.19,8546,27.59,4711,45.59,1149,83.99,8319,37.19,1800,74.39,9667,103.19,4293,74.39,6019,47.99,13508,26.39
194,9/13/2024,3690,43.19,8449,27.59,1754,45.59,1596,83.99,8843,37.19,4154,74.39,5297,103.19,5815,74.39,4616,47.99,12377,26.39
195,9/20/2024,2612,35.99,4350,22.99,5644,37.99,1333,69.99,3514,30.99,2555,61.99,7404,85.99,3167,61.99,3907,39.99,5228,21.99
196,9/27/2024,3073,35.99,7460,22.99,4981,37.99,1189,69.99,9871,30.99,2385,61.99,3833,85.99,1223,61.99,5039,39.99,11978,21.99
197,10/4/2024,2514,35.99,7101,22.99,3351,37.99,1676,69.99,5157,30.99,1317,61.99,3712,85.99,1661,61.99,5471,39.99,3918,21.99
198,10/11/2024,3414,35.99,7585,22.99,1476,37.99,1482,69.99,8900,30.99,2560,61.99,4453,85.99,4377,61.99,3953,39.99,8785,21.99
199,10/18/2024,3074,35.99,5724,22.99,4282,37.99,755,69.99,8737,30.99,2625,61.99,4996,85.99,4048,61.99,2703,39.99,9378,21.99
200,10/25/2024,2025,35.99,6787,22.99,4797,37.99,1277,69.99,4186,30.99,2532,61.99,4146,85.99,3500,61.99,5430,39.99,12207,21.99
201,11/1/2024,2911,35.99,9338,22.99,2840,37.99,916,69.99,6136,30.99,1789,61.99,6967,85.99,3058,61.99,5199,39.99,12774,21.99
202,11/8/2024,3435,35.99,7765,22.99,4234,37.99,666,69.99,7052,30.99,3087,61.99,7437,85.99,2736,61.99,2252,39.99,12062,21.99
203,11/15/2024,1517,35.99,5547,22.99,3722,37.99,756,69.99,4538,30.99,1426,61.99,7985,85.99,2079,61.99,3594,39.99,2694,21.99
204,11/22/2024,2549,35.99,7621,22.99,3493,37.99,1251,69.99,4011,30.99,2948,61.99,2790,85.99,3635,61.99,4169,39.99,7169,21.99
205,11/29/2024,2233,43.19,9000,27.59,2396,45.59,1299,83.99,8629,37.19,1790,74.39,8317,103.19,3418,74.39,2854,47.99,9805,26.39
206,12/6/2024,3969,43.19,6410,27.59,1711,45.59,1382,83.99,10113,37.19,2932,74.39,7047,103.19,1499,74.39,5220,47.99,13907,26.39
207,12/13/2024,3760,50.39,5840,32.19,5024,53.19,1228,97.99,11545,43.39,3377,86.79,3593,120.39,3129,86.79,3914,55.99,13400,30.79
208,12/20/2024,3081,43.19,7195,27.59,6249,45.59,1335,83.99,8048,37.19,1895,74.39,5700,103.19,2069,74.39,3646,47.99,12639,26.39
209,12/27/2024,3152,35.99,8466,22.99,4005,37.99,1415,69.99,6955,30.99,2070,61.99,3817,85.99,6472,61.99,2648,39.99,10584,21.99
210,1/3/2025,2025,28.79,6704,18.39,3907,30.39,826,55.99,3784,24.79,2285,49.59,3686,68.79,3446,49.59,1669,31.99,7388,17.59
211,1/10/2025,2412,28.79,3720,18.39,2830,30.39,668,55.99,3804,24.79,1399,49.59,4680,68.79,2974,49.59,1109,31.99,8360,17.59
212,1/17/2025,2410,35.99,7342,22.99,6045,37.99,1625,69.99,5537,30.99,2183,61.99,5569,85.99,2682,61.99,4584,39.99,7336,21.99
213,1/24/2025,2490,35.99,6453,22.99,2870,37.99,1180,69.99,6780,30.99,2681,61.99,5185,85.99,2993,61.99,3428,39.99,6690,21.99
214,1/31/2025,2366,35.99,11341,22.99,3076,37.99,719,69.99,8003,30.99,2245,61.99,5665,85.99,2796,61.99,3894,39.99,9537,21.99
215,2/7/2025,1556,28.79,6137,18.39,2161,30.39,1519,55.99,8035,24.79,1391,49.59,5886,68.79,2918,49.59,3098,31.99,5918,17.59
216,2/14/2025,1628,28.79,5417,18.39,2674,30.39,756,55.99,6864,24.79,2853,49.59,3688,68.79,3320,49.59,3359,31.99,9028,17.59
217,2/21/2025,3290,28.79,7273,18.39,4555,30.39,1402,55.99,6331,24.79,2108,49.59,2734,68.79,2357,49.59,1797,31.99,13435,17.59
218,2/28/2025,2040,35.99,7486,22.99,3783,37.99,993,69.99,8617,30.99,2365,61.99,8665,85.99,2865,61.99,5857,39.99,9285,21.99
